r,loss
-4,0.555269 
-3.96,0.555226 
-3.92,0.555276 
-3.88,0.555349 
-3.84,0.555377 
-3.8,0.555478 
-3.76,0.555641 
-3.72,0.555291 
-3.68,0.555477 
-3.64,0.55574 
-3.6,0.555861 
-3.56,0.556028 
-3.52,0.556202 
-3.48,0.556437 
-3.44,0.556539 
-3.4,0.55682 
-3.36,0.557033 
-3.32,0.557327 
-3.28,0.557557 
-3.24,0.557818 
-3.2,0.558247 
-3.16,0.558524 
-3.12,0.558795 
-3.08,0.559113 
-3.04,0.559445 
-3,0.559784 
-2.96,0.56008 
-2.92,0.560376 
-2.88,0.560713 
-2.84,0.56102 
-2.8,0.561209 
-2.76,0.562453 
-2.72,0.562647 
-2.68,0.56291 
-2.64,0.563119 
-2.6,0.563454 
-2.56,0.563664 
-2.52,0.563444 
-2.48,0.563695 
-2.44,0.563883 
-2.4,0.564174 
-2.36,0.564339 
-2.32,0.564468 
-2.28,0.564638 
-2.24,0.564768 
-2.2,0.56474 
-2.16,0.564826 
-2.12,0.564847 
-2.08,0.564858 
-2.04,0.564834 
-2,0.564804 
-1.96,0.564838 
-1.92,0.564844 
-1.88,0.564657 
-1.84,0.564639 
-1.8,0.564441 
-1.76,0.564208 
-1.72,0.563949 
-1.68,0.563629 
-1.64,0.563299 
-1.6,0.562958 
-1.56,0.562826 
-1.52,0.562555 
-1.48,0.562303 
-1.44,0.562048 
-1.4,0.561781 
-1.36,0.561475 
-1.32,0.560722 
-1.28,0.560399 
-1.24,0.560092 
-1.2,0.559763 
-1.16,0.559513 
-1.12,0.560125 
-1.08,0.559846 
-1.04,0.559588 
-1,0.559282 
-0.960003,0.558944 
-0.920003,0.5587 
-0.880003,0.558296 
-0.840003,0.55786 
-0.800003,0.557456 
-0.760003,0.557049 
-0.720003,0.556652 
-0.680003,0.556336 
-0.640003,0.55601 
-0.600003,0.555862 
-0.560003,0.555513 
-0.520003,0.555219 
-0.480003,0.554894 
-0.440003,0.554567 
-0.400003,0.554298 
-0.360003,0.553997 
-0.320003,0.553803 
-0.280003,0.553612 
-0.240003,0.553381 
-0.200003,0.553325 
-0.160003,0.553211 
-0.120003,0.553107 
-0.0800027,0.552519 
-0.0400027,0.552127 
-2.68221e-06,0.551546 
