tx,loss
-50,6.0972e+08
-49,5.86361e+08
-48,5.58598e+08
-47,5.39323e+08
-46,5.39274e+08
-45,5.62938e+08
-44,6.04032e+08
-43,6.47253e+08
-42,6.73912e+08
-41,6.64409e+08
-40,6.05362e+08
-39,4.97774e+08
-38,3.56708e+08
-37,2.10127e+08
-36,1.02712e+08
-35,1.04538e+08
-34,2.1685e+08
-33,3.70097e+08
-32,5.18858e+08
-31,6.34128e+08
-30,6.99332e+08
-29,7.11934e+08
-28,6.8524e+08
-27,6.39918e+08
-26,5.97795e+08
-25,5.76481e+08
-24,5.81043e+08
-23,6.05525e+08
-22,6.39068e+08
-21,6.68996e+08
-20,6.86409e+08
-19,6.88086e+08
-18,6.76278e+08
-17,6.57671e+08
-16,6.41624e+08
-15,6.36282e+08
-14,6.46151e+08
-13,6.69786e+08
-12,7.00681e+08
-11,7.30046e+08
-10,7.50222e+08
-9,7.57469e+08
-8,7.52211e+08
-7,7.39318e+08
-6,7.2682e+08
-5,7.22341e+08
-4,7.30546e+08
-3,7.51228e+08
-2,7.78272e+08
-1,8.03867e+08
0,8.2265e+08
1,8.32934e+08
2,8.35107e+08
3,8.32681e+08
4,8.29542e+08
5,8.28271e+08
6,8.30404e+08
7,8.37144e+08
8,8.49189e+08
9,8.65646e+08
10,8.85001e+08
11,9.052e+08
12,9.23733e+08
13,9.38232e+08
14,9.46147e+08
15,9.4815e+08
16,9.48412e+08
17,9.49878e+08
18,9.54333e+08
19,9.63208e+08
20,9.76409e+08
21,9.92861e+08
22,1.01072e+09
23,1.02754e+09
24,1.04105e+09
25,1.04993e+09
26,1.05527e+09
27,1.05908e+09
28,1.06289e+09
29,1.06808e+09
30,1.07487e+09
31,1.08249e+09
32,1.0907e+09
33,1.10051e+09
34,1.11219e+09
35,1.1246e+09
36,1.13633e+09
37,1.14676e+09
38,1.15476e+09
39,1.16007e+09
40,1.16389e+09
41,1.16666e+09
42,1.16893e+09
43,1.17173e+09
44,1.17643e+09
45,1.18372e+09
46,1.19272e+09
47,1.20225e+09
48,1.21104e+09
49,1.21813e+09
